Lokasi,Komoditas,Januari 2018,Februari 2018,Maret 2018,April 2018,Mei 2018,Juni 2018,Juli 2018,Agustus 2018,September 2018,Oktober 2018,November 2018,Desember 2018,Januari 2019,Februari 2019,Maret 2019,April 2019,Mei 2019,Juni 2019,Juli 2019,Agustus 2019,September 2019,Oktober 2019,November 2019,Desember 2019,Januari 2020,Februari 2020,Maret 2020,April 2020,Mei 2020,Juni 2020,Juli 2020,Agustus 2020,September 2020,Oktober 2020,November 2020,Desember 2020,Januari 2021,Februari 2021,Maret 2021,April 2021,Mei 2021,Juni 2021,Juli 2021,Agustus 2021,September 2021,Oktober 2021,November 2021,Desember 2021,Januari 2022,Februari 2022,Maret 2022,April 2022,Mei 2022,Juni 2022,Juli 2022,Agustus 2022,September 2022,Oktober 2022,November 2022,Desember 2022,Januari 2023,Februari 2023,Maret 2023,April 2023,Mei 2023,Juni 2023
DKI Jakarta,Bawang merah,26052.17,24100,32200,34047.62,35200,37533.33,31915.63,29900,25137.5,24610,26345.45,27783.33,31656.82,28188.89,34230,42700,41150,37695,33958.7,30415.63,,26143.48,31997.62,35125,39116.18,37492.42,38985.53,49906.67,59941.3,56771.74,42300,34227.27,32346.25,35417.5,38083.33,36652.5,33892.5,36492.11,41070.45,37711.9,38821.05,36050,37128.57,34927.5,31270.45,31577.5,31034.09,32191.3,32485.71,39069.44,38984.09,40642.5,50420,58397.44,65223.81,41286.96,37861.36,36304.76,36536.36,37961.36,43992.86,48367.5,42909.52,44018.42,49319.05,48391.18
Jawa Barat,Bawang merah,19882.61,19350,,28583.33,32243.75,33064.29,27175,25000,22875,22162.5,25497.73,26583.33,27715.91,25643.75,33330,38875,42075,34854.55,29552.17,25927.5,,22234.78,28723.81,31561.11,33889.29,30539.39,35181.25,44612.12,52326.09,47841.3,35015.22,28665.91,28052.5,34223.81,33792.86,29335,30752.5,31165.79,32329.55,29866.67,32170,29721.43,32583.33,29512.5,26645.45,26300,23256.82,25915.22,26369.05,31972.22,31604.17,34162.5,41566.67,52746.15,56954.76,34052.17,31820.45,31952.38,31795.45,32615.91,37754.76,39972.5,35771.43,38736.84,42307.14,40432.35
Jawa Tengah,Bawang merah,17632.61,17025,22700,29654.76,29543.75,30362.5,23662.5,22250,16562.5,18370,21968.18,24453.13,25270.45,21443.75,31045,36725,,32261.76,26537.78,22785.48,,20105.81,25917.07,28760,29679.41,27538.89,31913.01,41495.83,49127.5,44815.56,31361.11,26836.9,24860.39,30171.79,33889.47,29164.86,26152.94,30839.58,33203.13,28874.19,29153.45,28597.83,31500,28963.64,24010.87,24859.09,21775.93,23725.93,24715.22,32083.33,32127.27,32017.39,41150,51782.05,56380.95,33571.74,30243.18,30954.76,31354.55,32445.45,37690.48,39097.5,33733.33,35192.11,38878.57,37176.47
D.I. Yogyakarta,Bawang merah,18706.52,17000,,28128.57,27212.5,27818.75,21484.38,20650,15650,15225,19922.73,23267.86,24279.55,19842.86,27297.5,36825,30000,26156.25,24251.56,19747.37,,16228.26,23788.64,27068.75,28105.88,24683.33,30246.34,37332.86,42304.35,41045.65,28748,22791.3,22961.25,26995,31526.19,28042.11,24635,25939.47,31331.82,26783.33,26773.68,25850,28321.43,26490,21379.55,22000,18788.64,21689.13,23264.29,30458.33,30231.82,28510,35340,48561.54,52847.62,30458.7,26815.91,26797.62,28804.55,29811.36,34659.52,35777.5,33171.43,33278.95,37947.62,37867.65
Jawa Timur,Bawang merah,19189.13,17125,21300,30728.57,29012.5,29306.25,22521.88,20300,17275,16700,20020.45,23989.29,26054.55,21671.43,28342.5,34100,31075,27773.53,24538.89,21220,,18736.96,24664.29,28095.45,30604.41,27503.45,30078.95,37860.94,48750,41800,29632.61,23768.18,23873.75,28642.86,32892.86,31582.5,27117.5,27410.53,29520.45,27538.64,26671.05,25542.86,29054.76,27517.5,22852.27,23455,21622.73,22163.04,24069.05,29797.22,30245.45,29395.24,35083.33,45603.85,56842.86,31230.43,28559.09,29345.24,32947.73,32777.27,34826.19,36847.5,33314.29,33584.21,38969.05,36082.35
Banten,Bawang merah,19456.52,18150,,32857.14,34418.75,34078.57,28818.75,27000,20275,22690,26513.64,28966.67,27250,21968.75,34392.5,40750,35250,35694.44,30630.43,25673.81,,24614.52,30534.09,33911.11,37414.29,33044.12,37973.68,48970.83,55109.52,50786.96,36302.17,30554.55,28888.75,34552.38,35583.33,31187.5,31307.5,34236.84,37786.36,33059.52,33875,32266.67,35071.43,30097.5,26525,25807.5,23431.82,25223.91,26695.24,35211.11,33670.45,35640,44150,55487.18,56226.19,33454.35,32818.18,34078.57,32468.18,33370.45,39569.05,41585,35847.62,39476.32,43923.81,42520.59
Bali,Bawang merah,21389.13,20250,,34440.48,32385.71,28771.43,23087.5,20750,18637.5,17500,20595.45,27850,32295.45,24714.29,30325,41000,36250,29636.36,26961.11,21852.38,,19039.13,23692.86,28112.5,35448.53,34322.73,33580.26,41915,46306.82,38897.83,27228.26,26811.36,23591.25,26250,31795.24,32337.5,30570,25307.89,31275,30614.29,25876.32,22238.1,24350,25652.5,20375,20502.5,18965.91,19413.04,21540.48,28427.78,34525,29867.5,30943.33,42756.41,51983.33,30430.43,25593.18,26766.67,32309.09,32393.18,33188.1,32562.5,30633.33,27489.47,26630.95,28082.35
Nusa Tenggara Barat,Bawang merah,17502.17,17050,14000,29376.19,26531.25,21507.14,16196.88,,10862.5,11930,13845.45,21383.33,28865.91,21400,27387.5,31800,26400,29870,21332.61,16540.63,,14106.52,18961.9,23533.33,33423.53,34896.97,28609.21,30441.67,39900,29504.35,22495.65,23102.27,19538.75,22359.52,27459.52,28210.53,29830,27381.58,26007.69,23126.83,22516.67,19791.67,20788.1,20529.63,17812.5,15241.18,16379.17,16798,18645.24,21875,28404.55,28612.5,28646.67,33730.77,45054.76,28908.7,22427.27,21650,28404.55,32918.18,35709.52,33300,30976.19,37065.79,36904.76,34347.06
Nusa Tenggara Timur,Bawang merah,24608.7,25000,24000,27738.1,29281.25,29028.57,23166.67,,14000,15000,15795.45,17500,22461.36,25312.5,25125,35400,38750,33660,30615.22,22288.89,,16797.83,19452.38,22320,27254.41,32221.21,30832.89,31391.67,36336.84,34393.48,25439.13,19081.82,18296.25,21852.38,24252.38,28677.5,30000,29947.37,29100,27878.57,29383.33,28138.1,24850,24212.5,23300,20790,21602.27,23593.48,25000,26741.67,29277.27,31265,31876.67,34082.05,44752.38,38752.17,25036.36,22435.71,26565.91,33145.45,37109.52,37247.5,36104.76,37615.79,40792.86,39352.94
Kalimantan Barat,Bawang merah,25086.96,23250,26600,30811.9,31078.57,28857.14,29193.33,,20562.5,21037.5,22090.91,26846.43,32468.18,29250,28780,35500,30000,33137.5,32217.39,26036.11,,20228.26,26583.33,29594.44,38260.29,34212.12,35486.84,46701.67,54375,50784.78,41063.04,32220.45,29192.5,32681.82,40892.86,39870,34395,33986.84,35372.73,33540.91,31655.26,30969.05,33297.62,35982.5,28622.73,28795,29129.55,27452.17,30100,35100,34275,27807.5,33051.67,49846.15,64292.86,42465.22,34720.45,33819.05,40915.91,39872.73,45626.19,38140,34838.1,33744.74,35933.33,38888.24
Kalimantan Tengah,Bawang merah,23682.61,22625,,39833.33,38555.56,36375,29640.63,23250,22625,19250,23000,29437.5,33613.64,28812.5,31775,45000,48750,38647.06,33488.37,28614.29,,21870.69,26616.67,29093.75,36235.29,37454.55,39394.74,39983.33,53952.38,58343.48,39239.13,32886.36,33306.25,34416.67,36976.19,37513.16,32500,33105.26,34818.18,34464.29,34515.79,33940.48,34142.86,34700,30295.45,30512.5,29772.73,29771.74,31119.05,33930.56,39056.82,37050,39183.33,52506.41,65976.19,47010.87,35697.73,34261.9,37761.36,38672.73,40154.76,41267.5,37428.57,37052.63,39988.1,39750
Kalimantan Selatan,Bawang merah,20763.04,20075,,36592.86,36278.57,32935.71,26406.67,,20237.5,19237.5,20406.82,27225,30725,24543.75,28835,43333.33,41000,39285,30714,24704,,20922.09,25173.68,26437.5,30411.9,31951.25,33005.88,36140.91,51787.5,48925,32792.22,28760.47,26888.61,29532.05,35984.52,34687.5,27377.42,26570.45,29825,28476.09,29297.37,27797.73,30730.43,32440,25527.27,25045.24,24534.78,23418.75,24961.9,32241.67,35570.45,28820,40908.33,49403.85,63059.52,39256.52,31181.82,30778.57,34388.64,34275,38209.52,38177.5,31561.9,31652.63,41195.24,37311.76
Kalimantan Timur,Bawang merah,24506.52,23900,,38626.19,33944.44,30987.5,28315.63,25100,22025,20500,22350,28710,32427.27,24950,28997.5,42800,38125,35300,31602.17,26580.56,,21295.65,26266.67,31062.5,35529.41,42828.79,33960.53,36565,57643.48,53386.96,37202.17,30143.18,28951.25,32380.95,37278.57,36310,26927.5,27971.05,31038.64,29340.91,29231.58,28545.24,30019.05,32867.5,30075,28337.5,27397.73,27558.33,29716.67,32669.44,35550,33302.5,36801.67,52760.26,67614.29,43095.65,32995.45,33776.19,37927.27,39165.91,39054.76,39502.5,36909.52,36855.26,41071.43,38426.47
Kalimantan Utara,Bawang merah,29673.91,30000,30000,43107.14,41625,38000,35816.67,30000,28000,25000,25863.64,33857.14,40136.36,33500,34275,43750,42500,44312.5,38554.35,32823.53,,27054.35,32214.29,36888.89,42323.53,52424.24,42828.95,41183.33,56083.33,61010.87,42032.61,36011.36,34968.75,36726.19,44452.38,40539.47,34500,32631.58,36250,34761.9,33065.79,32714.29,36583.33,40237.5,33852.27,32562.5,29829.55,29391.3,34916.67,37930.56,40613.64,37137.5,42208.33,53782.05,70559.52,50793.48,39090.91,39214.29,42829.55,44738.64,43940.48,44282.5,41176.19,41581.58,45538.1,42755.88
Sulawesi Utara,Bawang merah,29695.65,30000,,43714.29,45857.14,42375,33875,,29250,26250,26681.82,30571.43,38636.36,33888.89,36525,49500,48000,46400,39152.17,31617.65,,25934.78,31166.67,33750,41632.35,54054.55,44671.05,40608.33,56652.17,60032.61,39326.09,34886.36,31825,35976.19,39976.19,40450,35100,34236.84,37977.27,32142.86,31355.26,32273.81,33428.57,38375,32295.45,30425,27647.73,31597.83,36219.05,36944.44,37454.55,32962.5,41891.67,55076.92,68678.57,46732.61,37829.55,36523.81,41284.09,42875,40511.9,40225,37726.19,38631.58,42833.33,39897.06
Sulawesi Tengah,Bawang merah,24391.3,22750,,35309.52,31875,29000,29266.67,25000,27500,26000,25340.91,30833.33,31511.36,24750,28250,42500,,38312.5,39156.52,32032.35,,26913.04,28392.86,33950,33073.53,40454.55,38473.68,38500,51826.09,58782.61,40771.74,34534.09,30406.25,32392.86,36109.52,37750,30137.5,28421.05,32352.27,32204.76,30552.63,29661.9,33347.62,40230,32288.64,31472.5,29350,27010.87,31883.33,32786.11,36236.36,31745,38486.67,50551.28,68409.52,48965.22,37540.91,33914.29,39704.55,40550,37997.62,38832.5,34433.33,33713.16,42050,37588.24
Sulawesi Selatan,Bawang merah,19084.78,19575,,32985.71,34506.25,32150,29720,26800,23725,22250,22877.27,28228.57,32670.45,28064.29,27530,36650,,35788.89,33526.09,28721.05,,23440.91,26762.5,30050,33675,44116.67,36661.84,36086.67,46480.95,51500,35747.83,28759.52,27857.5,30940.91,35183.33,34300,29685,27284.21,28836.36,29034.09,27684.21,25050,26766.67,27857.5,26690.91,24947.5,23884.09,24465.22,26900,28877.78,33586.36,31376.19,33216.67,46878.21,64038.1,43028.26,33559.09,31790.48,36956.82,38188.64,36626.19,37507.5,35414.29,33689.47,38892.86,37285.29
Sulawesi Tenggara,Bawang merah,30160.87,28150,28500,38357.14,40187.5,35985.71,35718.75,32000,31025,28920,26950,30316.67,39131.82,34950,36310,40300,,42754.55,39843.1,37187.5,,32480,33602.38,34764.29,40982.35,50689.39,45097.37,45216.67,59280.43,58845.65,44634.78,37386.36,33417.5,34814.29,39502.38,41595,35370,32176.32,34150,34635.71,32336.11,32011.9,33161.9,36407.5,32336.36,31315,30656.82,29130.43,33335.71,35133.33,38852.27,37892.5,39950,53314.1,71895.24,53306.52,38352.27,36083.33,40072.73,43547.73,40428.57,41585,38507.14,37223.68,44078.57,42576.47
Gorontalo,Bawang merah,28695.65,28000,,43571.43,40000,39142.86,31812.5,28000,30000,23750,26045.45,32125,36909.09,30375,36050,46500,,44777.78,35695.65,29342.11,,26000,31214.29,34437.5,41764.71,49545.45,40000,40333.33,58750,57217.39,38260.87,34272.73,31550,35600,42619.05,38750,31537.5,30868.42,36522.73,33130.95,33847.22,33023.81,34404.76,41025,34359.09,33612.5,30852.27,33619.57,40297.62,39500,39693.18,36100,44066.67,62980.77,72261.9,47945.65,37897.73,38107.14,42295.45,44886.36,43342.86,41770,37247.62,39152.63,47090.48,40235.29
Sulawesi Barat,Bawang merah,26630.43,25000,,40047.62,35875,35000,33333.33,26000,25000,25000,25000,32133.33,33725,30000,28000,40000,40000,43000,36739.13,32650,,26663.04,28804.88,32333.33,36014.29,43903.23,35273.33,35033.33,47310.81,52214.29,36369.05,27817.07,26042.86,33027.03,36794.12,35862.07,29909.09,29100,29815.79,28088.24,26821.43,25451.61,29193.55,30878.79,26073.53,25833.33,23742.42,20730.77,23809.52,28944.44,34181.82,31500,32100,46679.49,62238.1,46086.96,36090.91,33809.52,38636.36,39272.73,38523.81,36000,35095.24,30789.47,39238.1,34470.59
Maluku,Bawang merah,29786.96,31500,,37604.76,40771.43,42214.29,40300,34500,28600,25400,26304.55,28210.71,38315.91,33025,35085,48650,49650,45483.33,43632.61,35514.71,,26504.76,29798.53,34927.27,42245.59,51280.3,41369.74,49846.67,55710.87,64567.39,50667.39,39265.91,38316.25,38750,39390.48,45097.5,35887.5,35650,38579.55,40923.81,37515.79,37359.52,38742.86,41047.5,36847.73,35347.5,35500,33141.3,33695.24,35825,40750,39867.5,42163.33,55139.74,67052.38,54189.13,41436.36,41245.24,42384.09,45993.18,46838.1,45087.5,42421.43,44350,49726.19,46688.24
Maluku Utara,Bawang merah,35650,35650,36300,47747.62,51481.25,48187.5,44259.38,40000,40200,38040,38963.64,42263.33,47188.64,43587.5,43082.5,54100,64100,54125,49065.22,42708.33,,36828.26,36904.76,39785.71,48595.59,65242.42,58289.47,56995,64510.87,79728.26,55478.26,51568.18,45600,43862.5,50083.33,53302.63,45462.5,43881.58,48579.55,48995.24,47802.63,47773.81,49750,50625,47329.55,47625,46000,40456.52,47530.95,50555.56,52063.64,50750,55928.33,69570.51,90559.52,70597.83,51986.36,49966.67,54738.64,62670.45,58047.62,58480,58869.05,53486.84,63928.57,59926.47
Papua Barat,Bawang merah,38478.26,40000,40000,47380.95,55000,51093.75,48984.38,,40000,36250,37897.73,39296.88,42840.91,47500,40562.5,61250,57500,49000,52228.26,47797.62,,36032.61,36428.57,43571.43,51102.94,56515.15,55000,57617.19,73586.96,79076.09,55923.91,45454.55,43562.5,42261.9,45119.05,48125,51312.5,43855.26,46909.09,46035.71,45426.32,45683.33,46428.57,46905,43863.64,44812.5,44231.82,40978.26,42916.67,46458.33,47443.18,47937.5,59083.33,63557.69,82559.52,66847.83,51079.55,48273.81,50568.18,52811.36,52321.43,53062.5,50892.86,49144.74,61726.19,55441.18
Papua,Bawang merah,37126.09,37500,35800,44838.1,51105.56,52285.71,47953.13,40000,35200,33300,30188.64,31600,40481.82,46506.25,44750,55800,58300,56506.25,53480.43,45626.47,,33858.7,35804.76,39372.22,46989.71,56100,55585.9,69606.67,67450,70147.83,65176.09,55304.55,44633.75,40523.81,43145.24,47690,47062.5,46910.53,47468.18,47584.09,46363.16,49066.67,45471.43,46540,46295.45,42420,40013.64,36589.13,41742.86,42252.78,49831.82,49600,52310,58696.15,75476.19,62958.7,48136.36,47828.57,48250,52786.36,52373.81,53002.5,54392.86,52265.79,59338.1,54220.59
Aceh,Beras Premium,,,,10826.19,10614.29,10800,11176.67,11200,10912.5,11212.5,11404.55,11450,10985.71,11009.09,10732.5,10200,10300,11005.56,11130.43,11444.44,,11543.48,12969.05,11587.5,11090.48,11052.5,10804.76,11271.74,11328.95,11402.38,11368.18,11455.56,11431.82,11355.26,11378.57,11372.5,10782.5,11173.68,11400,11450,11305.26,11380.95,11445.24,11487.5,11431.82,11380,11350,11463.04,11545.24,11802.78,11561.36,11487.5,11502.78,11740.48,11709.52,11915.22,12277.27,12395.24,12002.27,11893.18,12278.57,12470,12095.24,12202.63,12145.24,12114.71
Sumatera Utara,Beras Premium,,,,12173.81,12221.43,12314.29,12271.88,12250,12387.5,12025,12088.64,12306.25,12578.57,12550,12537.5,12550,11775,12100,12082.61,12069.44,,11910.87,11952.38,12206.25,12671.43,12760,12819.05,12690.48,12790,12588.1,12472.73,12708.33,12925,12895.24,12907.14,12900,12855,12752.63,12788.64,12431.82,12600,12350,12185.71,12197.5,12165.91,12182.5,12197.73,12176.09,12271.43,12297.22,12300,12390,12566.67,12290.48,12304.76,12297.83,12502.27,12602.38,12595.45,12563.64,12740.48,13157.5,13569.05,13634.21,13773.81,13808.82
Sumatera Barat,Beras Premium,,,11950,11904.76,11900,11900,11900,11900,11900,12425,12661.36,12726.67,12895.24,12910,12822.5,12850,12850,12786.36,12997.83,12877.78,,12854.35,12850,12850,12900,12932.5,13166.67,13107.14,13115,12938.1,12927.27,12955.56,12940.91,12944.74,12942.86,12955,12970,12810.53,12795.45,12778.57,12502.63,12873.81,12800,12765,12793.18,12810,12963.64,13004.35,13000,13000,13143.18,13167.5,13175,13088.1,13050,13186.96,13577.27,16276.19,16775,16513.64,16464.29,16357.5,16047.62,15944.74,15950,15944.12
Riau,Beras Premium,,,,13726.19,13916.67,13750,13750,14000,13925,13875,14806.82,14966.67,15000,14975,14995,14800,14700,14636.36,14626.09,14638.89,,14595.65,14526.19,14543.75,14652.38,14640,14645.24,14650,14630,14640.48,14593.18,14600,14602.27,14600,14600,14560.53,14625,14557.89,14327.27,14350,14300,14297.62,14297.62,14297.5,14288.64,14300,14297.73,14300,14321.43,14327.78,14350,14327.5,14288.89,14350,14350,14350,14731.82,14435.71,14309.09,14370.45,14638.1,14842.5,14678.57,14647.37,14650,14644.12
Jambi,Beras Premium,,,,11816.67,11457.14,11762.5,11890,11700,20187.5,11212.5,11172.73,11370,12321.43,12344.44,12355,12350,12350,11600,11767.39,11766.67,,11760.87,11552.38,11550,11600,11547.5,11550,11535.71,11450,11552.38,11559.09,11550,11536.36,11550,11550,11550,11550,11476.32,11261.36,11250,11211.11,11261.9,11250,11250,11250,11250,11250,11250,11690.48,11855.56,11847.73,11807.5,11825,11797.62,11797.62,11797.83,11913.64,12726.19,12850,12809.09,12935.71,13300,12997.62,12897.37,13078.57,13614.71
Sumatera Selatan,Beras Premium,,,11350,10614.29,10828.57,10825,11096.67,11100,10962.5,11175,11445.45,11446.67,11450,11444.44,11447.5,11225,11225,11166.67,11253.57,11324,,11452.17,11445.24,11461.11,11411.36,11452.5,11459.52,11500,11473.68,11500,11459.09,11577.78,11504.55,11415.79,11347.62,11347.37,11340,11334.21,11350,11350,11308.33,11252.38,10561.9,10797.62,10759.09,10750,10736.36,10976.09,11133.33,11222.22,11209.09,11242.5,11263.89,11492.86,11497.62,11491.3,11909.09,12019.05,12197.73,12338.64,12514.29,13035,13028.57,12855.26,12871.43,13505.88
Bengkulu,Beras Premium,,,,11545.24,11514.29,12066.67,11084.38,11100,12200,12050,12161.36,12062.5,12514.29,12645,12257.5,11850,11850,12027.27,12480.43,12694.44,,12658.7,12407.14,12250,12047.62,12097.5,12378.57,12500,12155,11966.67,12000,12000,12000,12000,12000,11995,12000,12000,12000,12000,12155.26,12000,11992.86,12120,12000,12000,12000,12000,12000,12000,11993.18,11987.5,11991.67,12000,11980.95,12008.7,12111.36,12328.57,12529.55,12650,13185.71,13570,13540.48,13526.32,13614.29,13664.71
Lampung,Beras Premium,,,12700,11742.86,11700,11678.57,11684.38,11950,12087.5,12175,12229.55,12203.33,12302.38,12111.11,11980,11950,11675,11887.5,12100,12086.11,,12204.35,12238.1,12250,12247.62,12250,12333.33,12488.1,12336.11,12257.14,12236.36,12200,12220.45,12300,12257.14,12292.5,12290,12292.11,12247.73,12250,12280.56,12200,11959.52,11950,11945.45,11947.5,11959.09,11950,12007.14,12097.22,12063.64,11975,12166.67,11947.62,11950,12041.3,11938.64,11476.19,11495.45,11836.36,12047.62,12500,12569.05,12889.47,12709.52,12750
Bangka Belitung,Beras Premium,,,,12876.19,12531.25,12168.75,12118.75,12200,12175,12200,12181.82,12250,12461.9,12488.89,12392.5,12100,12100,12005,12358.7,12544.44,,12373.91,12523.81,12225,12035.71,12017.5,12116.67,12395.24,12334.21,12233.33,12195.45,12122.22,11938.64,11871.05,11883.33,11910.53,11985,12031.58,12013.64,11870.45,11897.37,11745.24,11723.81,11735,11547.73,11650,11650,11702.17,12104.76,12188.89,12159.09,12177.5,12119.44,12140.48,12314.29,12363.04,12313.64,12507.14,12525,12600,12728.57,12942.5,13104.76,13265.79,13642.86,13752.94
